iter	Passed	Remaining
399	43710	10927
400	43835	10822
401	43949	10714
402	44058	10604
403	44164	10494
404	44271	10384
405	44383	10275
406	44494	10167
407	44606	10058
408	44712	9948
409	44818	9838
410	44930	9729
411	45040	9620
412	45153	9511
413	45262	9402
414	45374	9293
415	45490	9185
416	45603	9077
417	45715	8968
418	45827	8859
419	45937	8750
420	46041	8639
421	46143	8528
422	46257	8420
423	46370	8311
424	46486	8203
425	46597	8094
426	46714	7986
427	46822	7876
428	46936	7768
429	47050	7659
430	47163	7550
431	47275	7441
432	47387	7332
433	47493	7222
434	47605	7113
435	47718	7004
436	47832	6895
437	47946	6786
438	48053	6677
439	48170	6568
440	48286	6460
441	48402	6351
442	48512	6242
443	48633	6133
444	48774	6028
445	48885	5918
446	48993	5809
447	49103	5699
448	49208	5589
449	49311	5479
450	49419	5369
451	49526	5259
452	49632	5149
453	49739	5039
454	49851	4930
455	49956	4820
456	50059	4710
457	50164	4600
458	50277	4491
459	50384	4381
460	50489	4271
461	50600	4161
462	50712	4052
463	50818	3942
464	50922	3832
465	51025	3722
466	51126	3612
467	51232	3503
468	51334	3393
469	51437	3283
470	51539	3173
471	51644	3063
472	51750	2954
473	51857	2844
474	51969	2735
475	52075	2625
476	52180	2516
477	52283	2406
478	52394	2297
479	52501	2187
480	52610	2078
481	52721	1968
482	52822	1859
483	52931	1749
484	53034	1640
485	53143	1530
486	53247	1421
487	53358	1312
488	53465	1202
489	53568	1093
490	53679	983
491	53787	874
492	53900	765
493	54004	655
494	54114	546
495	54221	437
496	54327	327
497	54436	218
498	54545	109
499	54647	0
